Date,Time,ADC1,ADC2,Temperature,Battery,FirstRecordDatetime
2020/8/18,09:13:34,1226,0,30.54,95,18/08/2020T09:13:34
2020/8/18,09:16:49,1228,0,30.9,95,18/08/2020T09:16:49
2020/8/18,09:20:06,1295,0,30.97,95,18/08/2020T09:20:06
2020/8/18,09:23:22,1899,0,29.7,95,18/08/2020T09:23:22
2020/8/18,09:26:40,1469,0,29.81,95,18/08/2020T09:26:40
2020/8/18,09:29:57,1413,0,29.67,95,18/08/2020T09:29:57
2020/8/18,09:33:14,2133,0,29.62,95,18/08/2020T09:33:14
2020/8/18,09:39:55,2482,0,28.23,95,18/08/2020T09:39:55
2020/8/18,09:43:11,2613,0,29.22,95,18/08/2020T09:43:11
2020/8/18,09:46:28,2672,0,29.75,95,18/08/2020T09:46:28
2020/8/18,09:49:43,2689,0,29.17,95,18/08/2020T09:49:43
2020/8/18,09:53:02,2790,0,29.77,95,18/08/2020T09:53:02
2020/8/18,09:56:17,2707,0,28.73,95,18/08/2020T09:56:17
2020/8/18,09:59:33,2718,0,28.64,95,18/08/2020T09:59:33
2020/8/18,10:02:49,2720,0,28.68,95,18/08/2020T10:02:49
2020/8/18,10:06:04,2761,0,28.67,95,18/08/2020T10:06:04
2020/8/18,10:09:21,2796,0,28.79,95,18/08/2020T10:09:21
2020/8/18,10:12:37,2826,0,28.96,95,18/08/2020T10:12:37
2020/8/18,10:15:53,2887,0,29.77,95,18/08/2020T10:15:53
2020/8/18,10:22:35,2785,0,28,95,18/08/2020T10:22:35
2020/8/18,10:25:52,2764,0,27.52,95,18/08/2020T10:25:52
2020/8/18,10:29:07,2805,0,27.14,95,18/08/2020T10:29:07
2020/8/18,10:32:24,2832,0,26.81,95,18/08/2020T10:32:24
2020/8/18,10:35:42,2813,0,26.19,95,18/08/2020T10:35:42
2020/8/18,10:38:58,2851,0,26.13,95,18/08/2020T10:38:58
2020/8/18,10:42:15,1156,0,25.91,95,18/08/2020T10:42:15
2020/8/18,10:45:35,1637,0,25.74,95,18/08/2020T10:45:35
2020/8/18,10:48:51,1235,0,25.81,95,18/08/2020T10:48:51
2020/8/18,10:52:07,1151,0,25.88,95,18/08/2020T10:52:07
2020/8/18,10:55:24,1602,0,26.59,95,18/08/2020T10:55:24
2020/8/18,10:58:42,3227,0,28.11,95,18/08/2020T10:58:42
2020/8/18,11:01:59,3300,0,28.49,95,18/08/2020T11:01:59
2020/8/18,11:05:16,3269,0,28.73,95,18/08/2020T11:05:16
2020/8/18,11:08:32,3178,0,27.87,95,18/08/2020T11:08:32
2020/8/18,11:11:49,3071,0,28.17,95,18/08/2020T11:11:49
2020/8/18,11:15:07,2686,0,28.23,95,18/08/2020T11:15:07
2020/8/18,11:18:24,3414,0,28.23,95,18/08/2020T11:18:24
2020/8/18,11:21:43,3004,0,28.33,95,18/08/2020T11:21:43
2020/8/18,11:28:27,3601,0,28.74,95,18/08/2020T11:28:27
2020/8/18,11:31:45,3535,0,28.96,95,18/08/2020T11:31:45
2020/8/18,11:35:00,3382,0,28.76,95,18/08/2020T11:35:00
2020/8/18,11:38:16,3289,0,28.7,95,18/08/2020T11:38:16
2020/8/18,11:41:31,2068,0,28.45,95,18/08/2020T11:41:31
2020/8/18,11:44:47,2393,0,28.31,95,18/08/2020T11:44:47
2020/8/18,11:48:05,2669,0,27.96,95,18/08/2020T11:48:05
2020/8/18,11:58:11,3147,0,27.75,95,18/08/2020T11:58:11
2020/8/18,12:08:16,3076,0,27.29,95,18/08/2020T12:08:16
2020/8/18,12:11:33,3101,0,27.12,95,18/08/2020T12:11:33
2020/8/18,12:14:49,3071,0,26.62,95,18/08/2020T12:14:49
2020/8/18,12:18:06,3134,0,28.28,95,18/08/2020T12:18:06
2020/8/18,12:21:22,1549,0,28.57,95,18/08/2020T12:21:22
2020/8/18,12:24:40,3260,0,27.51,95,18/08/2020T12:24:40
2020/8/18,12:27:57,2977,0,27.77,95,18/08/2020T12:27:57
2020/8/18,12:31:12,3007,0,27.48,95,18/08/2020T12:31:12
2020/8/18,12:34:28,1150,0,27.61,95,18/08/2020T12:34:28
2020/8/18,12:37:46,1328,0,27.84,95,18/08/2020T12:37:46
2020/8/18,12:41:02,2148,0,27.71,95,18/08/2020T12:41:02
2020/8/18,12:44:18,2292,0,27.47,95,18/08/2020T12:44:18
2020/8/18,12:47:36,2454,0,27.5,95,18/08/2020T12:47:36
2020/8/18,12:50:53,2414,0,27.33,95,18/08/2020T12:50:53
2020/8/18,12:54:09,2495,0,27.53,95,18/08/2020T12:54:09
2020/8/18,12:57:26,2474,0,27.62,95,18/08/2020T12:57:26
2020/8/18,13:00:45,1973,0,27.6,95,18/08/2020T13:00:45
2020/8/18,13:04:01,2184,0,28.08,95,18/08/2020T13:04:01
2020/8/18,13:07:18,2339,0,27.85,95,18/08/2020T13:07:18
2020/8/18,13:10:34,1360,0,28.13,95,18/08/2020T13:10:34
2020/8/18,13:13:49,1670,0,28.3,95,18/08/2020T13:13:49
2020/8/18,13:17:05,3159,0,28.71,95,18/08/2020T13:17:05
2020/8/18,13:20:20,3100,0,28.13,95,18/08/2020T13:20:20
2020/8/18,13:23:35,3115,0,28.45,95,18/08/2020T13:23:35
2020/8/18,13:26:51,3090,0,28.31,95,18/08/2020T13:26:51
2020/8/18,13:30:07,3107,0,28.2,95,18/08/2020T13:30:07
2020/8/18,13:33:22,3216,0,28.28,95,18/08/2020T13:33:22
2020/8/18,13:36:38,3191,0,28.16,95,18/08/2020T13:36:38
2020/8/18,13:39:54,3207,0,28.22,95,18/08/2020T13:39:54
2020/8/18,13:43:11,3330,0,29.35,95,18/08/2020T13:43:11
2020/8/18,13:46:27,3536,0,30.24,95,18/08/2020T13:46:27
2020/8/18,13:49:43,3685,0,30.69,95,18/08/2020T13:49:43
2020/8/18,13:52:59,2778,0,30.15,95,18/08/2020T13:52:59
2020/8/18,13:56:16,3661,0,29.74,95,18/08/2020T13:56:16
2020/8/18,14:06:14,3582,0,29.25,95,18/08/2020T14:06:14
2020/8/18,14:09:29,3668,0,29.42,95,18/08/2020T14:09:29
2020/8/18,14:12:45,3696,0,29.55,95,18/08/2020T14:12:45
2020/8/18,14:16:00,3700,0,29.59,95,18/08/2020T14:16:00
